out,in,benefits_Bs_2014,benefits_USD_2014
PV,FS5,188698,2074.74436503573
PV,FS6,188698,2074.74436503573
PV,FS7,188698,2074.74436503573
PV,FS8,109698,1206.13523914239
PV,FS8,188698,2074.74436503573
PV,FS9,188698,2074.74436503573
PV,FS10,188698,2074.74436503573
PV,FS11,188698,2074.74436503573
PV,FS12,188698,2074.74436503573
PV,FS13,109698,1206.13523914239
PV,FS13,188698,2074.74436503573
PV,FS14,188698,2074.74436503573
PV,FS15,188698,2074.74436503573
PV,FS16,188698,2074.74436503573
PV,FS17,188698,2074.74436503573
PV,FS18,188698,2074.74436503573
PV,FS19,188698,2074.74436503573
PV,FS20,109698,1206.13523914239
PV,FS20,188698,2074.74436503573
PV,FS21,188698,2074.74436503573
PV,FS22,188698,2074.74436503573
PV,FS23,188698,2074.74436503573
PV,FS24,188698,2074.74436503573
PV,FS25,188698,2074.74436503573
PV,FS26,188698,2074.74436503573
PV,FS27,109698,1206.13523914239
PV,FS27,188698,2074.74436503573
PV,FS28,188698,2074.74436503573
PV,FS29,188698,2074.74436503573
PV,FS30,188698,2074.74436503573
PV,FS31,188698,2074.74436503573
PV,FS32,188698,2074.74436503573
PV,FS33,188698,2074.74436503573
PV,FS34,188698,2074.74436503573
PV,FS35,188698,2074.74436503573
PV,FS36,188698,2074.74436503573
PV,FS37,109698,1206.13523914239
PV,FS37,188698,2074.74436503573
PV,FS38,188698,2074.74436503573
PV,FS39,188698,2074.74436503573
PV,FS40,109698,1206.13523914239
PV,FS40,188698,2074.74436503573
PV,FS41,188698,2074.74436503573
PV,FS42,188698,2074.74436503573
PV,FS43,188698,2074.74436503573
PV,FS44,188698,2074.74436503573
PV,FS44,109698,1206.13523914239
PV,FS45,188698,2074.74436503573
PV,FS46,188698,2074.74436503573
PV,FS47,188698,2074.74436503573
PV,FS48,109698,1206.13523914239
PV,FS48,188698,2074.74436503573
PV,FS49,109698,1206.13523914239
PV,FS50,188698,2074.74436503573
PV,FS51,188698,2074.74436503573
PV,FS52,188698,2074.74436503573
PV,FS53,129898,1428.23529411765
PV,FS53,109698,1206.13523914239
PV,FS54,188698,2074.74436503573
PV,FS55,109698,1206.13523914239
PV,FS55,188698,2074.74436503573
PV,FS56,188698,2074.74436503573
PV,FS57,188698,2074.74436503573
PV,FS58,188698,2074.74436503573
PV,FS58,109698,1206.13523914239
PV,FS59,188698,2074.74436503573
PV,FS60,109698,1206.13523914239
PV,FS61,188698,2074.74436503573
PV,FS62,188698,2074.74436503573
PV,FS63,188698,2074.74436503573
PV,FS64,188698,2074.74436503573
PV,FS64,109698,1206.13523914239
PV,FS65,188698,2074.74436503573
PV,FS66,188698,2074.74436503573
FS1,FP1,80000,879.604178119846
FS2,FP1,148000,1627.26772952172
FS3,DT,69000,758.658603628367
FS3,FP2,148000,1627.26772952172
FS4,FP1,148000,1627.26772952172
FS5,FP2,148000,1627.26772952172
FS6,FP2,148000,1627.26772952172
FS7,FP1,148000,1627.26772952172
FS8,DT,69000,758.658603628367
FS8,FP2,148000,1627.26772952172
FS9,FP1,148000,1627.26772952172
FS10,FP2,148000,1627.26772952172
FS11,FP1,148000,1627.26772952172
FS12,FP1,148000,1627.26772952172
FS13,DT,69000,758.658603628367
FS13,FP2,148000,1627.26772952172
FS14,FP2,148000,1627.26772952172
FS15,FP1,148000,1627.26772952172
FS16,FP2,148000,1627.26772952172
FS17,FP1,148000,1627.26772952172
FS18,FP1,148000,1627.26772952172
FS19,FP2,148000,1627.26772952172
FS20,DT,69000,758.658603628367
FS20,FP2,148000,1627.26772952172
FS21,FP1,148000,1627.26772952172
FS22,FP2,148000,1627.26772952172
FS23,FP1,148000,1627.26772952172
FS24,FP1,148000,1627.26772952172
FS25,FP2,148000,1627.26772952172
FS26,FP1,148000,1627.26772952172
FS27,DT,69000,758.658603628367
FS27,FP2,148000,1627.26772952172
FS28,FP1,148000,1627.26772952172
FS29,FP1,148000,1627.26772952172
FS30,FP1,148000,1627.26772952172
FS31,FP1,148000,1627.26772952172
FS32,FP1,148000,1627.26772952172
FS33,FP2,148000,1627.26772952172
FS34,FP1,148000,1627.26772952172
FS35,FP2,148000,1627.26772952172
FS36,FP1,148000,1627.26772952172
FS37,DT,69000,758.658603628367
FS37,FP1,148000,1627.26772952172
FS38,FP2,148000,1627.26772952172
FS39,FP1,148000,1627.26772952172
FS40,DT,69000,758.658603628367
FS40,FP1,148000,1627.26772952172
FS41,FP2,148000,1627.26772952172
FS42,FP1,148000,1627.26772952172
FS43,FP1,148000,1627.26772952172
FS44,FP1,148000,1627.26772952172
FS44,DT,69000,758.658603628367
FS45,FP1,148000,1627.26772952172
FS46,FP2,148000,1627.26772952172
FS47,FP1,148000,1627.26772952172
FS48,DT,69000,758.658603628367
FS48,FP1,148000,1627.26772952172
FS49,DT,69000,758.658603628367
FS50,FP1,148000,1627.26772952172
FS51,FP1,148000,1627.26772952172
FS52,FP2,148000,1627.26772952172
FS53,DT,89200,980.758658603628
FS53,DT,69000,758.658603628367
FS54,FP2,148000,1627.26772952172
FS55,DT,69000,758.658603628367
FS55,FP1,148000,1627.26772952172
FS56,FP2,148000,1627.26772952172
FS57,FP1,148000,1627.26772952172
FS58,FP1,148000,1627.26772952172
FS58,DT,69000,758.658603628367
FS59,FP1,148000,1627.26772952172
FS60,DT,69000,758.658603628367
FS61,FP2,148000,1627.26772952172
FS62,FP1,148000,1627.26772952172
FS63,FP1,148000,1627.26772952172
FS64,FP2,148000,1627.26772952172
FS64,DT,69000,758.658603628367
FS65,FP1,148000,1627.26772952172
FS66,FP1,148000,1627.26772952172
FS1,NS1,40698,447.476635514019
FS2,NS2,40698,447.476635514019
FS3,NS3,40698,447.476635514019
FS3,NS1,40698,447.476635514019
FS4,NS2,40698,447.476635514019
FS5,NS3,40698,447.476635514019
FS6,NS1,40698,447.476635514019
FS7,NS2,40698,447.476635514019
FS8,NS3,40698,447.476635514019
FS8,NS1,40698,447.476635514019
FS9,NS2,40698,447.476635514019
FS10,NS3,40698,447.476635514019
FS11,NS1,40698,447.476635514019
FS12,NS2,40698,447.476635514019
FS13,NS3,40698,447.476635514019
FS13,NS1,40698,447.476635514019
FS14,NS2,40698,447.476635514019
FS15,NS3,40698,447.476635514019
FS16,NS1,40698,447.476635514019
FS17,NS2,40698,447.476635514019
FS18,NS3,40698,447.476635514019
FS19,NS1,40698,447.476635514019
FS20,NS2,40698,447.476635514019
FS20,NS3,40698,447.476635514019
FS21,NS1,40698,447.476635514019
FS22,NS2,40698,447.476635514019
FS23,NS3,40698,447.476635514019
FS24,NS1,40698,447.476635514019
FS25,NS2,40698,447.476635514019
FS26,NS3,40698,447.476635514019
FS27,NS1,40698,447.476635514019
FS27,NS2,40698,447.476635514019
FS28,NS3,40698,447.476635514019
FS29,NS1,40698,447.476635514019
FS30,NS2,40698,447.476635514019
FS31,NS3,40698,447.476635514019
FS32,NS1,40698,447.476635514019
FS33,NS2,40698,447.476635514019
FS34,NS3,40698,447.476635514019
FS35,NS1,40698,447.476635514019
FS36,NS2,40698,447.476635514019
FS37,NS3,40698,447.476635514019
FS37,NS1,40698,447.476635514019
FS38,NS2,40698,447.476635514019
FS39,NS3,40698,447.476635514019
FS40,NS1,40698,447.476635514019
FS40,NS2,40698,447.476635514019
FS41,NS3,40698,447.476635514019
FS42,NS1,40698,447.476635514019
FS43,NS2,40698,447.476635514019
FS44,NS3,40698,447.476635514019
FS44,NS1,40698,447.476635514019
FS45,NS2,40698,447.476635514019
FS46,NS3,40698,447.476635514019
FS47,NS1,40698,447.476635514019
FS48,NS2,40698,447.476635514019
FS48,NS3,40698,447.476635514019
FS49,NS1,40698,447.476635514019
FS50,NS2,40698,447.476635514019
FS51,NS3,40698,447.476635514019
FS52,NS1,40698,447.476635514019
FS53,NS2,40698,447.476635514019
FS53,NS3,40698,447.476635514019
FS54,NS1,40698,447.476635514019
FS55,NS2,40698,447.476635514019
FS55,NS3,40698,447.476635514019
FS56,NS1,40698,447.476635514019
FS57,NS2,40698,447.476635514019
FS58,NS3,40698,447.476635514019
FS58,NS1,40698,447.476635514019
FS59,NS2,40698,447.476635514019
FS60,NS3,40698,447.476635514019
FS61,NS1,40698,447.476635514019
FS62,NS2,40698,447.476635514019
FS63,NS3,40698,447.476635514019
FS64,NS1,40698,447.476635514019
FS64,NS2,40698,447.476635514019
FS65,NS3,40698,447.476635514019
FS66,NS1,40698,447.476635514019
NS1,DT,384596100,4228654.20560748
NS2,DT,384596100,4228654.20560748
NS3,DT,384596100,4228654.20560748
NS1,DT,384596100,4228654.20560748
NS2,DT,384596100,4228654.20560748
NS3,DT,384596100,4228654.20560748
GM,TB1,1907500,20973.0621220451
GM,TB2,817500,8988.45519516218
FP1,LG1,248040,2727.21275426058
FP2,LG1,248040,2727.21275426058
FP1,LG2,1170000,12864.2111050028
FP1,LG3,248040,2727.21275426058
FP2,LG3,248040,2727.21275426058
FP1,LG4,1170000,12864.2111050028
FP1,LG5,156000,1715.2281473337
FP2,LG5,156000,1715.2281473337
FP1,LG6,234000,2572.84222100055
FP2,LG6,234000,2572.84222100055
FP1,LG7,248040,2727.21275426058
FP2,LG7,248040,2727.21275426058
FP1,LG8,248040,2727.21275426058
FP2,LG8,248040,2727.21275426058
FP1,LG9,390000,4288.07036833425
FP2,LG9,390000,4288.07036833425
FP1,LG10,234000,2572.84222100055
FP1,LG11,312000,3430.4562946674
FP2,LG11,312000,3430.4562946674
FP1,LG12,117000,1286.42111050027
FP2,LG12,117000,1286.42111050027
FP1,LG13,248040,2727.21275426058
FP2,LG13,248040,2727.21275426058
FP1,LG14,248040,2727.21275426058
FP2,LG14,248040,2727.21275426058
FP1,LG15,195000,2144.03518416712
FP2,LG15,195000,2144.03518416712
FP1,LG16,624000,6860.9125893348
FP2,LG16,624000,6860.9125893348
P17,LG17,234000,2572.84222100055
FP1,LG18,468000,5145.6844420011
FP2,LG18,468000,5145.6844420011
FP1,LG19,234000,2572.84222100055
FP1,LG20,248040,2727.21275426058
FP2,LG20,248040,2727.21275426058
FP1,LG21,78000,857.61407366685
FP2,LG21,78000,857.61407366685
FP1,LG22,234000,2572.84222100055
FP2,LG22,234000,2572.84222100055
FP1,LG23,1404000,15437.0533260033
FP1,LG24,195000,2144.03518416712
FP2,LG24,195000,2144.03518416712
FP1,LG25,312000,3430.4562946674
FP2,LG25,312000,3430.4562946674
FP1,LG26,78000,857.61407366685
FP2,LG26,78000,857.61407366685
FP1,LG27,248040,2727.21275426058
FP2,LG27,248040,2727.21275426058
FP1,LG28,1092000,12006.5970313359
FP1,LG29,312000,3430.4562946674
FP2,LG29,312000,3430.4562946674
FP1,LG30,496080,5454.42550852117
FP1,LG31,156000,1715.2281473337
FP2,LG31,156000,1715.2281473337
FP1,LG32,248040,2727.21275426058
FP2,LG32,248040,2727.21275426058
FP1,LG33,248040,2727.21275426058
FP2,LG33,248040,2727.21275426058
FP1,LG34,234000,2572.84222100055
FP1,LG35,248040,2727.21275426058
FP2,LG35,248040,2727.21275426058
FP1,LG36,156000,1715.2281473337
FP2,LG36,156000,1715.2281473337
FP1,LG37,248040,2727.21275426058
FP2,LG37,248040,2727.21275426058
FP1,LG38,312000,3430.4562946674
FP1,LG39,468000,5145.6844420011
FP1,LG40,248040,2727.21275426058
FP2,LG40,248040,2727.21275426058
FP1,LG41,156000,1715.2281473337
FP1,LG42,156000,1715.2281473337
FP1,LG43,156000,1715.2281473337
FP1,LG44,156000,1715.2281473337
SU,RE,264123932.6,2904056.43320506
RE,PV,19876400,218542.056074766
RE,SU,727122269.5,7994747.32820231
SU,PV,727122269.5,7994747.32820231
